2016-08-01:06:57, 201608010657114052, buy_market, 99, 20, 部分成交
2016-08-01:06:57, 201608010657984126, sell_market, 99.00, 47, 部分成交
2016-08-01:06:57, 201608010657613568, buy, 95.00, 1, 全部成交
2016-08-01:06:57, 201608010657984126, sell_market, 95.00, 1, 部分成交
2016-08-01:06:57, 201608010657984979, buy, 94.00, 19, 部分成交
2016-08-01:06:57, 201608010657984126, sell_market, 94.00, 19, 全部成交
2016-08-01:06:57, 201608010657429146, buy_market, 107.00, 9, 部分成交
2016-08-01:06:57, 201608010657258750, sell, 107.00, 9, 全部成交
2016-08-01:06:57, 201608010657429146, buy_market, 108.00, 32, 部分成交
2016-08-01:06:57, 201608010657523937, sell, 108.00, 32, 全部成交
2016-08-01:06:57, 201608010657429146, buy_market, 99, 7, 全部成交
2016-08-01:06:57, 201608010657784593, sell, 99, 7, 部分成交
2016-08-01:06:57, 201608010657984979, buy, 94.00, 41, 全部成交
2016-08-01:06:57, 201608010657784593, sell, 94.00, 41, 部分成交
2016-08-01:06:57, 201608010657644141, buy, 94.00, 32, 全部成交
2016-08-01:06:57, 201608010657784593, sell, 94.00, 32, 部分成交
2016-08-01:06:57, 201608010657404538, buy_market, 99, 12, 部分成交
2016-08-01:06:57, 201608010657784593, sell, 99, 12, 全部成交
2016-08-01:06:57, 201608010657404538, buy_market, 99, 67, 全部成交
2016-08-01:06:57, 201608010657252521, sell_market, 99, 67, 部分成交
2016-08-01:06:57, 201608010657779263, buy, 98.00, 14, 部分成交
2016-08-01:06:57, 201608010657252521, sell_market, 98.00, 14, 全部成交
2016-08-01:06:57, 201608010657779263, buy, 98.00, 73, 全部成交
2016-08-01:06:57, 201608010657989687, sell_market, 98.00, 73, 部分成交
2016-08-01:06:57, 201608010657017084, buy, 92.00, 10, 全部成交
2016-08-01:06:57, 201608010657989687, sell_market, 92.00, 10, 部分成交
2016-08-01:06:57, 201608010657750820, buy, 98.00, 1, 部分成交
2016-08-01:06:57, 201608010657989687, sell_market, 98.00, 1, 全部成交
2016-08-01:06:57, 201608010657969735, buy, 95.00, 6, 部分成交
2016-08-01:06:57, 201608010657021173, sell, 95.00, 6, 全部成交
2016-08-01:06:57, 201608010657969735, buy, 95.00, 69, 全部成交
2016-08-01:06:57, 201608010657387805, sell, 95.00, 69, 部分成交
2016-08-01:06:57, 201608010657750820, buy, 95.00, 5, 部分成交
2016-08-01:06:57, 201608010657387805, sell, 95.00, 5, 全部成交
2016-08-01:06:57, 201608010657750820, buy, 95.00, 28, 部分成交
2016-08-01:06:57, 201608010657086345, sell, 95.00, 28, 全部成交
2016-08-01:06:57, 201608010657500419, buy_market, 103.00, 16, 部分成交
2016-08-01:06:57, 201608010657702163, sell, 103.00, 16, 全部成交
2016-08-01:06:57, 201608010657500419, buy_market, 108.00, 3, 全部成交
2016-08-01:06:57, 201608010657092670, sell, 108.00, 3, 部分成交
2016-08-01:06:57, 201608010657559526, buy_market, 102.00, 71, 全部成交
2016-08-01:06:57, 201608010657281780, sell, 102.00, 71, 部分成交
2016-08-01:06:57, 201608010657983057, buy, 99, 40, 部分成交
2016-08-01:06:57, 201608010657056804, sell_market, 99, 40, 全部成交
2016-08-01:06:57, 201608010657470837, buy_market, 102.00, 24, 部分成交
2016-08-01:06:57, 201608010657281780, sell, 102.00, 24, 全部成交
2016-08-01:06:57, 201608010657470837, buy_market, 108.00, 13, 全部成交
2016-08-01:06:57, 201608010657092670, sell, 108.00, 13, 部分成交
2016-08-01:06:57, 201608010657983057, buy, 99, 27, 全部成交
2016-08-01:06:57, 201608010657845448, sell_market, 99, 27, 部分成交
2016-08-01:06:57, 201608010657750820, buy, 98.00, 26, 全部成交
2016-08-01:06:57, 201608010657845448, sell_market, 98.00, 26, 部分成交
2016-08-01:06:57, 201608010657655919, buy, 99, 3, 全部成交
2016-08-01:06:57, 201608010657845448, sell_market, 99, 3, 部分成交
2016-08-01:06:57, 201608010657020242, buy, 99, 17, 全部成交
2016-08-01:06:57, 201608010657845448, sell_market, 99, 17, 部分成交
2016-08-01:06:57, 201608010657570880, buy, 99, 26, 部分成交
2016-08-01:06:57, 201608010657845448, sell_market, 99, 26, 全部成交
2016-08-01:06:57, 201608010657570880, buy, 99, 45, 部分成交
2016-08-01:06:57, 201608010657662789, sell_market, 99, 45, 全部成交
2016-08-01:06:57, 201608010657570880, buy, 99, 5, 全部成交
2016-08-01:06:57, 201608010657791362, sell_market, 99, 5, 部分成交
2016-08-01:06:57, 201608010657913558, buy, 99, 91, 全部成交
2016-08-01:06:57, 201608010657791362, sell_market, 99, 91, 部分成交
2016-08-01:06:57, 201608010657991572, buy, 95.00, 3, 部分成交
2016-08-01:06:57, 201608010657791362, sell_market, 95.00, 3, 全部成交
2016-08-01:06:57, 201608010657991572, buy, 95.00, 18, 全部成交
2016-08-01:06:57, 201608010657411110, sell_market, 95.00, 18, 部分成交
2016-08-01:06:57, 201608010657433464, buy_market, 99, 52, 部分成交
2016-08-01:06:57, 201608010657411110, sell_market, 99, 52, 全部成交
2016-08-01:06:57, 201608010657433464, buy_market, 99, 32, 全部成交
2016-08-01:06:57, 201608010657427536, sell_market, 99, 32, 部分成交
2016-08-01:06:57, 201608010657535721, buy_market, 99, 12, 部分成交
2016-08-01:06:57, 201608010657427536, sell_market, 99, 12, 全部成交
2016-08-01:06:57, 201608010657535721, buy_market, 99, 51, 部分成交
2016-08-01:06:57, 201608010657039334, sell_market, 99, 51, 全部成交
2016-08-01:06:57, 201608010657535721, buy_market, 99, 4, 全部成交
2016-08-01:06:57, 201608010657956631, sell, 99, 4, 部分成交
2016-08-01:06:57, 201608010657697976, buy, 93.00, 7, 部分成交
2016-08-01:06:57, 201608010657208180, sell_market, 93.00, 7, 全部成交
2016-08-01:06:57, 201608010657697976, buy, 93.00, 7, 全部成交
2016-08-01:06:57, 201608010657938589, sell_market, 93.00, 7, 部分成交
2016-08-01:06:57, 201608010657092069, buy, 94.00, 51, 部分成交
2016-08-01:06:57, 201608010657938589, sell_market, 94.00, 51, 全部成交
2016-08-01:06:57, 201608010657376945, buy, 97.00, 61, 部分成交
2016-08-01:06:57, 201608010657956631, sell, 97.00, 61, 全部成交
2016-08-01:06:57, 201608010657376945, buy, 100.00, 31, 部分成交
2016-08-01:06:57, 201608010657977043, sell, 100.00, 31, 全部成交
2016-08-01:06:57, 201608010657376945, buy, 103.00, 2, 全部成交
2016-08-01:06:57, 201608010657593050, sell, 103.00, 2, 部分成交
2016-08-01:06:57, 201608010657092069, buy, 94.00, 14, 全部成交
2016-08-01:06:57, 201608010657740760, sell, 94.00, 14, 部分成交
2016-08-01:06:57, 201608010657461205, buy_market, 99, 56, 部分成交
2016-08-01:06:57, 201608010657693143, sell, 99, 56, 全部成交
2016-08-01:06:57, 201608010657461205, buy_market, 99, 2, 部分成交
2016-08-01:06:57, 201608010657740760, sell, 99, 2, 全部成交
2016-08-01:06:57, 201608010657461205, buy_market, 103.00, 8, 全部成交
2016-08-01:06:57, 201608010657593050, sell, 103.00, 8, 部分成交
2016-08-01:06:57, 201608010657848068, buy, 94.00, 78, 全部成交
2016-08-01:06:57, 201608010657843847, sell_market, 94.00, 78, 部分成交
2016-08-01:06:57, 201608010657461164, buy_market, 99, 14, 部分成交
2016-08-01:06:57, 201608010657843847, sell_market, 99, 14, 全部成交
2016-08-01:06:57, 201608010657461164, buy_market, 99, 4, 部分成交
2016-08-01:06:57, 201608010657601137, sell_market, 99, 4, 全部成交
2016-08-01:06:57, 201608010657461164, buy_market, 99, 15, 全部成交
2016-08-01:06:57, 201608010657589032, sell, 99, 15, 部分成交
2016-08-01:06:57, 201608010657593775, buy, 98.00, 1, 全部成交
2016-08-01:06:57, 201608010657589032, sell, 98.00, 1, 部分成交
2016-08-01:06:57, 201608010657343760, buy_market, 99, 66, 全部成交
2016-08-01:06:57, 201608010657826003, sell, 99, 66, 部分成交
2016-08-01:06:57, 201608010657452870, buy_market, 99, 2, 全部成交
2016-08-01:06:57, 201608010657826003, sell, 99, 2, 部分成交
2016-08-01:06:57, 201608010657111418, buy_market, 99, 27, 部分成交
2016-08-01:06:57, 201608010657826003, sell, 99, 27, 全部成交
2016-08-01:06:57, 201608010657111418, buy_market, 99, 26, 部分成交
2016-08-01:06:57, 201608010657589032, sell, 99, 26, 全部成交
2016-08-01:06:57, 201608010657111418, buy_market, 99, 5, 全部成交
2016-08-01:06:57, 201608010657656701, sell, 99, 5, 部分成交
2016-08-01:06:57, 201608010657688518, buy, 98.00, 41, 全部成交
2016-08-01:06:57, 201608010657656701, sell, 98.00, 41, 部分成交
2016-08-01:06:57, 201608010657369239, buy_market, 99, 58, 全部成交
2016-08-01:06:57, 201608010657575598, sell, 99, 58, 部分成交
2016-08-01:06:57, 201608010657497921, buy, 96.00, 10, 全部成交
2016-08-01:06:57, 201608010657358680, sell_market, 96.00, 10, 部分成交
2016-08-01:06:57, 201608010657808444, buy_market, 99, 21, 全部成交
2016-08-01:06:57, 201608010657358680, sell_market, 99, 21, 部分成交
